B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 2
B11, Trade, 590.825, 107, B11, S07, 1
B11, Trade, 602.250, 105, S00, B11, 1
B11, Trade, 609.850, 101, S00, B11, 1
B11, Trade, 612.150, 99, S08, B11, 1
B11, Trade, 620.375, 100, S07, B11, 1
B11, Trade, 622.850, 97, S01, B11, 1
B11, Trade, 629.225, 102, S10, B11, 1
B11, Trade, 634.750, 106, S02, B11, 1
B11, Trade, 641.225, 102, S10, B11, 1
B11, Trade, 646.800, 105, S02, B11, 1
B11, Trade, 653.950, 102, S02, B11, 1
B11, Trade, 660.175, 98, S00, B11, 1
B11, Trade, 662.125, 102, S10, B11, 1
B11, Trade, 668.000, 107, B11, S00, 1
B11, Trade, 672.825, 102, S10, B11, 1
B11, Trade, 681.550, 97, S01, B11, 1
B11, Trade, 686.175, 106, S09, B11, 1
B11, Trade, 687.375, 107, B11, S04, 1
B11, Trade, 696.000, 101, S08, B11, 1
B11, Trade, 697.250, 107, S11, B11, 1
B11, Trade, 706.225, 107, S02, B11, 1
B11, Trade, 709.025, 107, S11, B11, 1
B11, Trade, 716.950, 101, S04, B11, 1
B11, Trade, 725.700, 107, S11, B11, 1
B11, Trade, 727.175, 100, S00, B11, 1
B11, Trade, 733.025, 99, S07, B11, 1
B11, Trade, 739.750, 105, S02, B11, 1
B11, Trade, 742.125, 102, S07, B11, 1
B11, Trade, 748.225, 98, S08, B11, 1
B11, Trade, 760.900, 94, S04, B11, 1
B11, Trade, 763.875, 102, S10, B11, 1
B11, Trade, 770.875, 98, S07, B11, 1
B11, Trade, 777.075, 101, S04, B11, 1
B11, Trade, 780.350, 106, S00, B11, 1
B11, Trade, 781.950, 102, S10, B11, 1
B11, Trade, 790.925, 102, S00, B11, 1
B11, Trade, 793.750, 102, S10, B11, 1
B11, Trade, 798.575, 100, S07, B11, 1
B11, Trade, 806.375, 106, S08, B11, 1
B11, Trade, 810.700, 106, S05, B11, 1
B11, Trade, 817.925, 107, S11, B11, 1
B11, Trade, 823.925, 104, S08, B11, 1
B11, Trade, 832.000, 99, S01, B11, 1
B11, Trade, 836.375, 107, B11, S01, 1
B11, Trade, 843.200, 107, B11, S06, 1
B11, Trade, 846.775, 103, S04, B11, 1
B11, Trade, 852.300, 105, S04, B11, 1
B11, Trade, 854.800, 103, S08, B11, 1
B12, 100
B12, Trade, 194.200, 113, B12, S02, 1
B12, Trade, 213.275, 103, B12, S00, 1
B12, Trade, 217.325, 101, B12, S06, 1
B12, Trade, 225.625, 97, B12, S06, 1
B12, Trade, 229.975, 99, B12, S06, 1
B12, Trade, 233.450, 101, S07, B12, 1
B12, Trade, 241.300, 101, S02, B12, 1
B12, Trade, 250.325, 102, B12, S06, 1
B12, Trade, 254.200, 103, S02, B12, 1
B12, Trade, 259.825, 105, B12, S10, 1
B12, Trade, 262.725, 102, S10, B12, 1
B12, Trade, 273.350, 98, B12, S04, 1
B12, Trade, 277.075, 110, B12, S03, 1
B12, Trade, 292.950, 100, S04, B12, 1
B12, Trade, 300.200, 87, S01, B12, 1
B12, Trade, 312.025, 97, B12, S05, 1
B12, Trade, 321.475, 106, B12, S04, 1
B12, Trade, 324.800, 100, B12, S06, 1
B12, Trade, 335.650, 96, B12, S01, 1
B12, Trade, 346.700, 98, S02, B12, 1
B12, Trade, 353.800, 100, B12, S01, 1
B12, Trade, 357.450, 100, B12, S03, 1
B12, Trade, 359.775, 97, B12, S06, 1
B12, Trade, 363.850, 100, B12, S03, 1
B12, Trade, 374.000, 100, B12, S02, 1
B12, Trade, 377.000, 101, S08, B12, 1
B12, Trade, 382.775, 92, S04, B12, 1
B12, Trade, 397.600, 104, B12, S01, 1
B12, Trade, 404.450, 101, B12, S02, 1
B12, Trade, 413.200, 102, B12, S06, 1
B12, Trade, 422.725, 104, B12, S01, 1
B12, Trade, 429.275, 97, B12, S05, 1
B12, Trade, 439.350, 100, B12, S03, 1
B12, Trade, 440.050, 107, S11, B12, 1
B12, Trade, 449.325, 102, B12, S02, 1
B12, Trade, 450.100, 102, S01, B12, 1
B12, Trade, 459.550, 102, B12, S10, 1
B12, Trade, 469.275, 103, B12, S07, 1
B12, Trade, 477.025, 99, B12, S08, 1
B12, Trade, 488.325, 103, B12, S06, 1
B12, Trade, 492.975, 97, B12, S04, 1
B12, Trade, 497.800, 100, B12, S08, 1
B12, Trade, 503.725, 103, B12, S04, 1
B12, Trade, 505.800, 105, B12, S06, 1
B12, Trade, 510.750, 97, B12, S03, 1
B12, Trade, 521.125, 99, B12, S06, 1
B12, Trade, 529.575, 104, B12, S10, 1
B12, Trade, 530.750, 93, B12, S03, 1
B12, Trade, 539.125, 98, S07, B12, 1
B12, Trade, 545.125, 101, B12, S06, 1
B12, Trade, 557.825, 103, S08, B12, 1
B12, Trade, 564.100, 101, B12, S05, 1
B12, Trade, 566.775, 100, B12, S02, 1
B12, Trade, 577.150, 98, B12, S06, 1
B12, Trade, 584.275, 98, B12, S04, 1
B12, Trade, 589.300, 101, B12, S06, 1
B12, Trade, 593.575, 106, B12, S10, 1
B12, Trade, 598.525, 100, S00, B12, 1
B12, Trade, 609.725, 101, S02, B12, 1
B12, Trade, 614.125, 99, B12, S07, 1
B12, Trade, 618.000, 98, S04, B12, 1
B12, Trade, 627.700, 97, B12, S04, 1
B12, Trade, 633.825, 106, B12, S07, 1
B12, Trade, 639.625, 104, B12, S06, 1
B12, Trade, 645.850, 103, B12, S10, 1
B12, Trade, 650.925, 102, S01, B12, 1
B12, Trade, 654.600, 100, S08, B12, 1
B12, Trade, 657.225, 97, B12, S01, 1
B12, Trade, 664.800, 102, S02, B12, 1
B12, Trade, 672.500, 101, B12, S08, 1
B12, Trade, 678.125, 98, B12, S02, 1
B12, Trade, 690.625, 105, B12, S02, 1
B12, Trade, 695.525, 100, B12, S04, 1
B12, Trade, 700.325, 105, B12, S07, 1
B12, Trade, 705.800, 105, B12, S04, 1
B12, Trade, 711.550, 104, B12, S07, 1
B12, Trade, 716.450, 98, S00, B12, 1
B12, Trade, 718.275, 100, S07, B12, 1
B12, Trade, 728.050, 100, S00, B12, 1
B12, Trade, 730.450, 100, B12, S07, 1
B12, Trade, 741.400, 101, B12, S01, 1
B12, Trade, 746.800, 98, B12, S06, 1
B12, Trade, 755.250, 101, B12, S05, 1
B12, Trade, 761.625, 94, S00, B12, 1
B12, Trade, 768.900, 98, S01, B12, 1
B12, Trade, 774.950, 108, B12, S05, 1
B12, Trade, 779.450, 97, B12, S06, 1
B12, Trade, 790.125, 101, B12, S07, 1
B12, Trade, 793.700, 98, B12, S05, 1
B12, Trade, 802.000, 97, B12, S04, 1
B12, Trade, 808.225, 100, S08, B12, 1
B12, Trade, 811.325, 102, S00, B12, 1
B12, Trade, 819.950, 113, B12, S05, 1
B12, Trade, 828.550, 97, B12, S03, 1
B12, Trade, 834.600, 101, B12, S04, 1
B12, Trade, 836.725, 104, B12, S00, 1
B12, Trade, 840.325, 102, S10, B12, 1
B12, Trade, 845.700, 101, B12, S08, 1
