B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 1
B12, Trade, 612.680, 98, B12, S10, 1
B12, Trade, 619.260, 95, B12, S07, 1
B12, Trade, 622.400, 86, S05, B12, 1
B12, Trade, 629.960, 95, B12, S02, 1
B12, Trade, 637.520, 99, B12, S08, 1
B12, Trade, 647.540, 99, B12, S10, 1
B12, Trade, 653.200, 91, B12, S02, 1
B12, Trade, 659.260, 90, S01, B12, 1
B12, Trade, 661.460, 83, S08, B12, 1
B12, Trade, 668.500, 88, B12, S06, 1
B12, Trade, 683.160, 97, B12, S10, 1
B12, Trade, 688.340, 92, B12, S01, 1
B12, Trade, 697.620, 94, B12, S10, 1
B12, Trade, 706.200, 91, S10, B12, 1
B12, Trade, 710.800, 95, B12, S08, 1
B12, Trade, 716.680, 91, B12, S08, 1
B12, Trade, 723.880, 88, B12, S08, 1
B12, Trade, 730.760, 89, B12, S08, 1
B12, Trade, 742.320, 99, B12, S10, 1
B12, Trade, 746.400, 98, B12, S02, 1
B12, Trade, 751.400, 91, S10, B12, 1
B12, Trade, 752.260, 93, B12, S06, 1
B12, Trade, 760.900, 90, B12, S09, 1
B12, Trade, 766.420, 95, B12, S10, 1
B12, Trade, 768.100, 95, B12, S02, 1
B12, Trade, 779.980, 91, S10, B12, 1
B12, Trade, 782.900, 91, B12, S06, 1
B12, Trade, 787.680, 86, S00, B12, 1
B12, Trade, 802.060, 99, S11, B12, 1
B12, Trade, 809.480, 91, S10, B12, 1
B12, Trade, 815.760, 95, B12, S08, 1
B12, Trade, 822.120, 91, S00, B12, 1
B12, Trade, 828.800, 94, B12, S10, 1
B12, Trade, 838.060, 90, B12, S08, 1
B12, Trade, 839.640, 94, B12, S06, 1
B12, Trade, 847.680, 99, B12, S06, 1
B12, Trade, 850.760, 96, B12, S05, 1
B12, Trade, 853.700, 95, B12, S08, 1
B12, Trade, 862.180, 94, B12, S10, 1
B13, 100
B13, Trade, 345.780, 104, B13, S11, 1
B13, Trade, 349.820, 90, S00, B13, 1
B13, Trade, 356.980, 97, S11, B13, 1
B13, Trade, 362.280, 90, S00, B13, 1
B13, Trade, 367.000, 97, S09, B13, 1
B13, Trade, 371.720, 104, B13, S06, 1
B13, Trade, 376.180, 104, B13, S06, 1
B13, Trade, 382.160, 104, B13, S06, 1
B13, Trade, 383.460, 102, S03, B13, 1
B13, Trade, 393.260, 89, S01, B13, 1
B13, Trade, 394.420, 91, S10, B13, 1
B13, Trade, 401.780, 104, B13, S02, 1
B13, Trade, 404.200, 104, B13, S08, 1
B13, Trade, 412.300, 91, S10, B13, 1
