B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 1
B12, Trade, 318.480, 98, B12, S04, 1
B12, Trade, 325.400, 96, B12, S05, 1
B12, Trade, 327.920, 94, S03, B12, 1
B12, Trade, 337.720, 95, B12, S09, 1
B12, Trade, 340.860, 95, B12, S00, 1
B12, Trade, 348.640, 97, S07, B12, 1
B12, Trade, 351.280, 95, S02, B12, 1
B12, Trade, 358.180, 98, S05, B12, 1
B12, Trade, 360.800, 99, B12, S09, 1
B12, Trade, 364.940, 94, B12, S00, 1
B12, Trade, 374.600, 94, B12, S09, 1
B12, Trade, 381.560, 96, B12, S08, 1
B12, Trade, 391.740, 95, B12, S09, 1
B12, Trade, 397.180, 98, B12, S04, 1
B12, Trade, 399.560, 90, S05, B12, 1
B12, Trade, 407.720, 98, B12, S00, 1
B12, Trade, 413.620, 97, B12, S04, 1
B12, Trade, 415.980, 96, B12, S09, 1
B12, Trade, 424.120, 95, B12, S04, 1
B12, Trade, 431.280, 99, B12, S04, 1
B12, Trade, 440.460, 98, B12, S08, 1
B12, Trade, 446.540, 95, B12, S00, 1
B12, Trade, 452.440, 95, B12, S08, 1
B12, Trade, 464.900, 93, B12, S04, 1
B12, Trade, 474.760, 93, B12, S04, 1
B12, Trade, 485.480, 92, B12, S04, 1
B12, Trade, 491.380, 97, B12, S04, 1
B12, Trade, 496.880, 99, B12, S09, 1
B12, Trade, 500.860, 94, B12, S04, 1
B12, Trade, 511.440, 96, B12, S00, 1
B12, Trade, 514.520, 95, B12, S00, 1
B12, Trade, 519.900, 97, B12, S04, 1
B12, Trade, 534.060, 96, B12, S09, 1
B12, Trade, 537.880, 94, B12, S08, 1
B12, Trade, 543.060, 92, B12, S05, 1
B12, Trade, 547.260, 98, B12, S04, 1
B12, Trade, 555.820, 96, B12, S09, 1
B12, Trade, 565.860, 95, B12, S09, 1
B12, Trade, 573.040, 99, B12, S08, 1
B12, Trade, 575.600, 99, B12, S08, 1
B12, Trade, 584.540, 96, B12, S09, 1
B12, Trade, 607.800, 93, B12, S09, 1
B12, Trade, 610.520, 94, B12, S08, 1
B12, Trade, 621.120, 97, B12, S08, 1
B12, Trade, 626.100, 98, B12, S04, 1
B12, Trade, 629.400, 96, B12, S09, 1
B12, Trade, 634.340, 94, B12, S08, 1
B12, Trade, 647.760, 97, B12, S07, 1
B12, Trade, 653.260, 99, B12, S08, 1
B12, Trade, 656.640, 94, B12, S09, 1
B12, Trade, 671.940, 99, B12, S00, 1
B12, Trade, 677.920, 93, B12, S08, 1
B12, Trade, 686.320, 95, B12, S08, 1
B12, Trade, 691.860, 96, B12, S09, 1
B12, Trade, 702.060, 92, B12, S08, 1
B12, Trade, 706.180, 91, B12, S04, 1
B12, Trade, 714.320, 97, B12, S07, 1
B12, Trade, 722.380, 95, B12, S09, 1
B12, Trade, 733.220, 99, B12, S00, 1
B12, Trade, 737.120, 95, B12, S04, 1
B12, Trade, 742.500, 96, B12, S08, 1
B12, Trade, 752.780, 96, B12, S09, 1
B12, Trade, 756.340, 95, B12, S09, 1
B12, Trade, 757.160, 95, S01, B12, 1
B12, Trade, 767.260, 91, S07, B12, 1
B12, Trade, 770.380, 92, S05, B12, 1
B12, Trade, 780.640, 93, B12, S04, 1
B12, Trade, 789.200, 99, B12, S04, 1
B12, Trade, 797.260, 92, B12, S04, 1
B12, Trade, 800.640, 91, B12, S00, 1
B12, Trade, 805.600, 94, B12, S08, 1
B12, Trade, 813.060, 94, B12, S09, 1
B12, Trade, 820.880, 95, B12, S00, 1
B12, Trade, 832.860, 99, B12, S00, 1
B12, Trade, 843.780, 98, B12, S08, 1
B12, Trade, 850.340, 94, B12, S00, 1
B12, Trade, 853.860, 94, B12, S09, 1
B12, Trade, 861.760, 96, B12, S04, 1
B13, 100
B13, Trade, 241.340, 95, B13, S04, 1
B13, Trade, 250.780, 95, B13, S08, 1
B13, Trade, 257.580, 99, B13, S04, 1
B13, Trade, 262.700, 94, B13, S00, 1
B13, Trade, 267.920, 94, B13, S00, 1
B13, Trade, 272.380, 95, B13, S08, 1
B13, Trade, 283.440, 99, B13, S04, 1
B13, Trade, 289.560, 99, B13, S08, 1
B13, Trade, 292.920, 101, B13, S04, 1
B13, Trade, 301.920, 91, S05, B13, 1
B13, Trade, 313.920, 99, B13, S09, 1
B13, Trade, 317.460, 99, B13, S08, 1
B13, Trade, 320.900, 98, B13, S08, 1
B13, Trade, 325.280, 97, B13, S09, 1
B13, Trade, 329.280, 95, B13, S08, 1
B13, Trade, 334.700, 95, B13, S04, 1
B13, Trade, 342.180, 94, B13, S04, 1
B13, Trade, 347.800, 97, B13, S04, 1
B13, Trade, 350.760, 97, B13, S08, 1
B13, Trade, 355.620, 103, B13, S08, 1
B13, Trade, 362.720, 100, B13, S01, 1
B13, Trade, 374.940, 92, B13, S00, 1
B13, Trade, 384.340, 95, B13, S08, 1
B13, Trade, 391.620, 95, B13, S08, 1
B13, Trade, 397.040, 100, B13, S10, 1
B13, Trade, 405.920, 90, B13, S09, 1
B13, Trade, 412.520, 98, B13, S08, 1
B13, Trade, 415.460, 97, B13, S02, 1
B13, Trade, 419.580, 95, B13, S04, 1
B13, Trade, 426.280, 96, B13, S07, 1
B13, Trade, 429.800, 102, B13, S09, 1
B13, Trade, 440.760, 98, B13, S00, 1
B13, Trade, 446.840, 95, B13, S08, 1
B13, Trade, 451.700, 95, B13, S09, 1
B13, Trade, 462.520, 93, B13, S09, 1
B13, Trade, 465.720, 93, S01, B13, 1
B13, Trade, 472.320, 96, B13, S09, 1
B13, Trade, 476.940, 89, S05, B13, 1
B13, Trade, 484.140, 93, B13, S09, 1
B13, Trade, 497.460, 98, B13, S08, 1
B13, Trade, 498.480, 97, S03, B13, 1
B13, Trade, 506.420, 95, B13, S04, 1
B13, Trade, 514.500, 95, B13, S07, 1
B13, Trade, 522.820, 94, B13, S08, 1
B13, Trade, 528.880, 94, B13, S04, 1
B13, Trade, 537.180, 94, B13, S04, 1
B13, Trade, 542.340, 93, S02, B13, 1
B13, Trade, 552.020, 96, B13, S04, 1
B13, Trade, 556.900, 98, B13, S04, 1
B13, Trade, 559.600, 102, B13, S10, 1
B13, Trade, 560.460, 101, B13, S09, 1
B13, Trade, 570.640, 96, B13, S00, 1
B13, Trade, 577.480, 98, B13, S09, 1
B13, Trade, 585.600, 95, B13, S04, 1
B13, Trade, 588.780, 94, B13, S10, 1
B13, Trade, 593.800, 94, B13, S09, 1
B13, Trade, 597.780, 95, B13, S09, 1
B13, Trade, 608.620, 92, B13, S00, 1
B13, Trade, 617.760, 94, B13, S00, 1
B13, Trade, 622.620, 96, B13, S04, 1
B13, Trade, 626.420, 98, B13, S08, 1
B13, Trade, 632.400, 96, B13, S00, 1
