B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B14, 100
B14, Trade, 245.780, 107, B14, S05, 1
B14, Trade, 252.660, 98, S10, B14, 1
B14, Trade, 255.360, 95, B14, S06, 1
B14, Trade, 258.380, 102, B14, S09, 1
B14, Trade, 267.880, 92, B14, S07, 1
B14, Trade, 270.200, 100, S12, B14, 1
B14, Trade, 280.240, 97, B14, S00, 1
B14, Trade, 291.360, 104, S08, B14, 1
B14, Trade, 294.780, 100, S12, B14, 1
B14, Trade, 300.220, 105, B14, S12, 1
B14, Trade, 307.460, 108, B14, S14, 1
B14, Trade, 310.780, 92, B14, S06, 1
B14, Trade, 318.500, 96, S11, B14, 1
B14, Trade, 321.240, 108, B14, S05, 1
B14, Trade, 329.100, 96, B14, S03, 1
B14, Trade, 336.860, 108, B14, S01, 1
B14, Trade, 346.140, 108, B14, S06, 1
B14, Trade, 350.540, 101, B14, S03, 1
B14, Trade, 357.500, 96, B14, S10, 1
B14, Trade, 361.740, 103, B14, S04, 1
B14, Trade, 364.700, 96, B14, S05, 1
B14, Trade, 376.020, 93, B14, S00, 1
B14, Trade, 382.140, 108, B14, S13, 1
B14, Trade, 384.460, 106, B14, S03, 1
B14, Trade, 393.600, 99, B14, S05, 1
B14, Trade, 397.960, 105, B14, S04, 1
B14, Trade, 404.700, 106, B14, S03, 1
B14, Trade, 405.960, 107, S07, B14, 1
B14, Trade, 412.100, 108, B14, S00, 1
B14, Trade, 418.340, 104, B14, S05, 1
B14, Trade, 421.480, 104, B14, S12, 1
B14, Trade, 424.180, 95, B14, S04, 1
B14, Trade, 434.400, 105, B14, S06, 1
B14, Trade, 442.060, 100, B14, S05, 1
B14, Trade, 452.620, 108, B14, S12, 1
B14, Trade, 459.600, 108, B14, S09, 1
B14, Trade, 465.200, 96, B14, S06, 1
B14, Trade, 472.040, 92, B14, S00, 1
B14, Trade, 478.140, 102, S10, B14, 1
B14, Trade, 484.840, 108, B14, S00, 1
B14, Trade, 488.340, 92, B14, S06, 1
B14, Trade, 493.460, 93, B14, S00, 1
B14, Trade, 498.780, 104, B14, S05, 1
B14, Trade, 502.520, 94, B14, S09, 1
B14, Trade, 511.060, 87, B14, S05, 1
B14, Trade, 516.800, 104, B14, S04, 1
B14, Trade, 525.120, 105, B14, S05, 1
B14, Trade, 533.820, 100, B14, S12, 1
B14, Trade, 541.340, 104, B14, S00, 1
B14, Trade, 545.860, 100, B14, S00, 1
B14, Trade, 556.760, 104, B14, S05, 1
B14, Trade, 569.220, 104, B14, S00, 1
B14, Trade, 572.860, 105, B14, S10, 1
B14, Trade, 582.100, 108, B14, S02, 1
